price,sqft,bedrooms,bathrooms
699000.0,3695.0,8.0,6.0
699900.0,4740.0,16.0,8.0
690000.0,2655.0,8.0,4.0
719900.0,3636.0,8.0,4.0
555000.0,2848.0,8.0,4.0
625000.0,2690.0,8.0,4.0
2100000.0,7638.0,8.0,14.0
2050000.0,6709.0,13.0,13.0
2020000.0,4888.0,8.0,4.0
2125000.0,7836.0,12.0,12.0
3000000.0,9110.0,15.0,10.0
2825000.0,9158.0,14.0,14.0
1485000.0,4624.0,9.0,4.0
1649000.0,3420.0,9.0,5.0
1900000.0,4228.0,8.0,4.0
1700000.0,4103.0,11.0,6.0
7999999.0,12147.0,8.0,10.0
5700000.0,11216.0,21.0,21.0
1695000.0,5660.0,8.0,4.0
2000000.0,4788.0,8.0,6.0
3590000.0,8100.0,14.0,12.0
1399000.0,5864.0,13.0,8.0
3900000.0,13365.0,0.0,24.0
2299000.0,690.0,12.0,6.0
1050000.0,4232.0,8.0,4.0
1790000.0,3314.0,8.0,5.0
2780000.0,6216.0,8.0,8.0
2250000.0,6616.0,8.0,11.0
875000.0,4992.0,8.0,4.0
1549000.0,5800.0,10.0,6.0
2990000.0,6200.0,12.0,12.0
1475000.0,6410.0,10.0,10.0
1450000.0,4589.0,8.0,8.0
899000.0,3564.0,8.0,4.0
1830000.0,5563.0,8.0,11.0
2549000.0,6710.0,4.0,12.0
999500.0,4506.0,8.0,4.0
1100000.0,3690.0,8.0,5.0
2780000.0,9133.0,10.0,8.0
859000.0,3332.0,8.0,4.0
950000.0,1320.0,10.0,6.0
849000.0,2806.0,9.0,5.0
1550000.0,5392.0,10.0,8.0
700000.0,2438.0,8.0,4.0
849900.0,4082.0,10.0,5.0
600000.0,3580.0,8.0,4.0
599999.0,3226.0,8.0,3.0
850000.0,3024.0,8.0,4.0
2000000.0,5016.0,12.0,8.0
930000.0,3772.0,9.0,7.0
1190000.0,3872.0,8.0,4.0
1679900.0,5401.0,14.0,7.0
922000.0,3069.0,8.0,4.0
858000.0,3652.0,8.0,4.0
1700000.0,5679.0,8.0,4.0
1197000.0,6064.0,9.0,6.0
1999000.0,7444.0,14.0,9.0
1249000.0,4896.0,8.0,4.0
2850000.0,8863.0,23.0,12.0
2390000.0,5854.0,17.0,11.0
999000.0,3500.0,8.0,4.0
899000.0,3540.0,8.0,4.0
1475000.0,5645.0,13.0,7.0
1450000.0,4320.0,8.0,8.0
1499000.0,5208.0,12.0,5.0
1999999.0,4165.0,9.0,5.0
1340000.0,5448.0,8.0,4.0
2795000.0,6034.0,13.0,9.0
1545000.0,5114.0,8.0,4.0
7995000.0,7694.0,6.0,9.0
2095000.0,7474.0,12.0,10.0
1950000.0,7180.0,12.0,12.0
965000.0,2964.0,8.0,4.0
5495000.0,7371.0,6.0,10.0
5500000.0,13295.0,20.0,20.0
180000000.0,12201.0,9.0,10.0
66650000.0,10907.0,9.0,9.0
19995000.0,5991.0,3.0,4.5
18250000.0,9593.0,7.0,9.0
4295000.0,8154.0,14.0,14.0
3055000.0,4860.0,8.0,8.0
2299000.0,3208.0,8.0,4.0
2895000.0,27771.0,43.0,43.0
2250000.0,7896.0,8.0,8.0
1200000.0,3106.0,10.0,5.0
2190000.0,5138.0,12.0,4.0
3100000.0,8225.0,16.0,16.0
2900000.0,8272.0,16.0,16.0
8250000.0,12959.0,21.0,27.0
2469000.0,5424.0,12.0,9.0
4900000.0,6929.0,10.0,10.0
4500000.0,7532.0,10.0,10.0
1580335.0,3676.0,8.0,4.0
1600000.0,2546.0,10.0,7.0
1600000.0,2892.0,10.0,8.0
6700000.0,14312.0,24.0,24.0
1300000.0,3787.0,8.0,6.0
1580000.0,3730.0,9.0,6.0
7975000.0,25048.0,8.0,42.0
1539000.0,3971.0,12.0,8.0
1150000.0,1408.0,8.0,4.0
1150000.0,1408.0,8.0,4.0
1925000.0,4605.0,8.0,7.0
1995000.0,3800.0,10.0,5.0
1552818.0,800.0,9.0,6.0
1095000.0,5915.0,15.0,8.0
2700000.0,6726.0,15.0,14.0
3695000.0,10228.0,20.0,12.0
3695000.0,8128.0,14.0,14.0
2149000.0,6426.0,16.0,11.0
2795000.0,5208.0,8.0,4.0
2400000.0,5031.0,8.0,6.0
2995000.0,5389.0,8.0,6.0
691000.0,1705.0,10.0,4.0
2195000.0,5014.0,12.0,8.0
1050000.0,4112.0,12.0,8.0
1150000.0,1199.0,9.0,7.0
2499000.0,6124.0,10.0,10.0
1895000.0,5179.0,9.0,6.0
5525000.0,15888.0,34.0,26.0
5595000.0,8896.0,9.0,12.0
1395000.0,6688.0,18.0,12.0
1395000.0,6688.0,18.0,12.0
35000000.0,3529.0,9.0,14.0
7880000.0,8327.0,6.0,8.0
38500000.0,11821.0,6.0,11.0
21500000.0,13056.0,7.0,13.0
22500000.0,35719.0,6.0,10.0
4695000.0,10069.0,6.0,9.0
30000000.0,18000.0,8.0,12.0
17995000.0,10299.0,8.0,12.0
15950000.0,13187.0,7.0,9.0
23900000.0,9000.0,4.0,9.0
9995000.0,11090.0,9.0,15.0
5100000.0,6914.0,8.0,8.0
8950000.0,9500.0,7.0,9.0
6799000.0,6908.0,5.0,9.0
6450000.0,7126.0,6.0,9.0
11900000.0,9030.0,7.0,7.0
11950000.0,10809.0,6.0,5.25
2750000.0,5700.0,11.0,10.0
625000.0,1900.0,8.0,3.0
579000.0,2467.0,8.0,6.0
720000.0,3437.0,10.0,8.0
910000.0,3380.0,8.0,6.0
1350000.0,5516.0,16.0,8.0
725000.0,3536.0,10.0,6.0
684900.0,3356.0,8.0,4.0
2425000.0,7286.0,18.0,9.0
5600000.0,11067.0,18.0,14.0
2550000.0,5959.0,8.0,6.0
5300000.0,13434.0,24.0,27.0
2650000.0,3844.0,11.0,5.0
2495000.0,4902.0,8.0,6.0
10200000.0,15408.0,13.0,16.0
5499000.0,8396.0,11.0,10.0
22500000.0,5000.0,2.0,3.0
18500000.0,9725.0,5.0,6.0
21900000.0,8800.0,6.0,7.0
9450000.0,5300.0,6.0,12.0
14750000.0,30000.0,10.0,20.0
38000000.0,11127.0,5.0,9.0
36985000.0,12000.0,5.0,8.0
16495000.0,8434.0,7.0,8.0
3790000.0,11500.0,6.0,5.0
20975000.0,8290.0,5.0,6.0
13900000.0,16000.0,8.0,16.0
5999000.0,12000.0,6.0,10.0
7995000.0,10502.0,13.0,15.0
4299000.0,5939.0,10.0,9.0
10995000.0,10000.0,5.0,8.0
6988888.0,8350.0,6.0,8.0
90000000.0,31000.0,12.0,24.0
3450000.0,3623.0,8.0,5.0
29500000.0,7500.0,7.0,9.0
19900000.0,10000.0,7.0,10.0
33000000.0,31000.0,7.0,12.0
19800000.0,7668.0,4.0,6.0
75000000.0,40000.0,8.0,21.0
35000000.0,12000.0,6.0,9.0
13995000.0,17784.0,5.0,8.5
19995000.0,5910.0,6.0,9.0
37000000.0,1780.0,2.0,3.5
19500000.0,13986.0,4.0,8.0
17900000.0,16000.0,6.0,9.0
23950000.0,6992.0,8.0,9.0
19500000.0,8337.0,5.0,11.0
7580000.0,9663.0,6.0,9.0
12500000.0,6741.0,6.0,9.0
14999000.0,8772.0,4.0,5.0
1890000.0,6926.0,12.0,9.0
7880000.0,8504.0,6.0,4.0
6888000.0,16530.0,48.0,48.0
13750000.0,7438.0,7.0,9.0
6900000.0,6500.0,9.0,8.0
47500000.0,14554.0,8.0,10.0
15950000.0,10097.0,7.0,10.0
45000000.0,22906.0,10.0,14.0
8500000.0,8509.0,6.0,6.0
85000000.0,5926.0,7.0,11.0
80000000.0,28000.0,11.0,18.0
39950000.0,14279.0,7.0,12.0
34900000.0,20829.0,8.0,17.0
85000000.0,32000.0,11.0,17.0
28000000.0,10485.0,6.0,10.0
34995000.0,17400.0,6.0,9.5
24950000.0,13500.0,7.0,7.0
29950000.0,11073.0,5.0,7.0
27500000.0,6229.0,5.0,7.0
19750000.0,12000.0,6.0,7.0
29500000.0,10050.0,5.0,8.0
19950000.0,6888.0,5.0,6.0
14995000.0,7577.0,6.0,9.0
29000000.0,13500.0,7.0,10.0
18995000.0,7618.0,5.0,7.0
18495000.0,10950.0,7.0,10.0
9450000.0,10000.0,7.0,8.0
14890000.0,9680.0,7.0,10.0
35000000.0,9756.0,7.0,7.0
17000000.0,11800.0,6.0,9.0
22000000.0,5239.0,4.0,7.0
10950000.0,8679.0,6.0,7.0
13495000.0,9900.0,7.0,10.0
10950000.0,13094.0,7.0,9.0
19995000.0,9976.0,7.0,11.0
9250000.0,8620.0,7.0,11.0
24000000.0,9041.0,5.0,7.0
7350000.0,9160.0,7.0,7.0
7995000.0,9268.0,5.0,6.0
17995000.0,11588.0,7.0,8.5
7995000.0,8500.0,6.0,9.0
11750000.0,8461.0,8.0,10.0
7695000.0,6558.0,9.0,8.0
3500000.0,4787.0,8.0,4.0
1050000.0,4066.0,9.0,5.0
6999000.0,7980.0,6.0,8.5
8695000.0,10000.0,5.0,5.0
3200000.0,5161.0,8.0,7.0
81500000.0,7083.0,2.0,5.0
85000000.0,15000.0,5.0,6.0
57500000.0,4441.0,6.0,7.5
29985000.0,18075.0,10.0,12.0
19995000.0,6000.0,6.0,7.0
25000000.0,12045.0,5.0,8.0
4500000.0,8600.0,7.0,7.5
7500000.0,11525.0,6.0,9.0
19750000.0,10135.0,5.0,8.0
13500000.0,7744.0,5.0,9.0
50000000.0,5254.0,4.0,6.0
52000000.0,5859.0,7.0,8.0
7920000.0,6118.0,1.0,9.0
12000000.0,10500.0,12.0,12.0
22500000.0,2273.0,2.0,3.0
3498000.0,5684.0,7.0,9.0
3200000.0,5452.0,7.0,8.5
20000000.0,2167.0,4.0,5.0
10000000.0,12732.0,7.0,11.0
5450000.0,9331.0,6.0,6.5
10450000.0,8868.0,6.0,8.0
11475000.0,12350.0,8.0,10.0
24950000.0,10000.0,7.0,13.0
7750000.0,10331.0,5.0,9.0
4995000.0,2822.0,12.0,9.0
23995000.0,6381.0,8.0,9.0
19950000.0,11917.0,6.0,10.0
20000000.0,14000.0,9.0,11.0
38000000.0,15642.0,7.0,13.0
19500000.0,4818.0,5.0,6.0
14295000.0,20522.0,30.0,30.0
25000000.0,2300.0,3.0,2.0
7450000.0,7494.0,5.0,8.25
7950000.0,9100.0,7.0,9.0
9985000.0,10632.0,6.0,10.0
9999000.0,18227.0,7.0,11.0
9350000.0,9792.0,6.0,10.0
6999999.0,7585.0,6.0,10.0
2895000.0,7878.0,9.0,9.0
40000000.0,51000.0,9.0,25.0
15999000.0,10100.0,6.0,8.0
8500000.0,11451.0,8.0,9.0
9999000.0,10484.0,7.0,8.0
8999000.0,9932.0,6.0,7.0
6750000.0,9575.0,6.0,9.0
6998000.0,7676.0,6.0,10.0
8900000.0,8320.0,5.0,6.0
7295000.0,8350.0,6.0,9.0
20900000.0,6392.0,6.0,8.0
25000000.0,10200.0,7.0,10.0
4200000.0,4780.0,9.0,8.0
4470000.0,7177.0,7.0,9.0
2699999.0,2757.0,8.0,6.0
2475000.0,5320.0,9.0,9.0
3495000.0,5600.0,9.0,8.0
9250000.0,10428.0,21.0,18.0
2095000.0,2900.0,8.0,5.0
3395000.0,3822.0,10.0,8.0
7650000.0,4521.0,8.0,8.0
3505000.0,4212.0,9.0,7.0
4950000.0,7601.0,8.0,9.0
